,Id,modularity_class
887,2250,6
888,9090,2
889,2106,0
890,1260,6
891,6097,6
892,1102,0
893,34,0
894,7233,0
895,2192,0
896,2191,4
897,4588,6
898,3477,3
899,465,1
900,3067,2
901,735,1
902,309,6
903,27,6
904,9150,6
905,116,1
906,1481,1
907,2055,6
908,13146,0
909,4292,0
910,2456,6
911,8907,2
912,3991,1
913,1893,1
914,1802,6
915,1823,6
916,413,6
917,345,3
918,2312,6
919,2024,6
920,1358,6
921,923,0
922,1519,3
923,1068,4
924,3151,0
925,3875,0
926,4061,6
927,1686,6
928,331,6
929,479,6
930,6499,4
931,4957,1
932,2865,2
933,9934,0
934,1466,0
935,4603,6
936,5852,0
937,343,3
938,7912,4
939,1938,4
940,1090,4
941,1313,0
942,2256,0
943,1061,2
944,2886,6
945,2626,0
946,4795,4
947,1210,4
948,1085,4
949,2709,4
950,4854,4
951,3624,0
952,1255,1
953,2590,1
954,4199,6
955,2967,6
956,3518,1
957,2286,0
958,2565,0
959,2130,0
960,9643,2
961,9654,1
962,5946,1
963,4613,1
964,357,6
965,1960,6
966,129,2
967,7704,1
968,1739,0
969,224,6
970,229,0
971,2744,0
972,9129,3
973,1534,3
974,1201,6
975,4374,3
976,20,3
977,1682,4
978,568,4
979,574,4
980,1062,2
981,3891,1
982,4810,0
983,1373,6
984,1467,6
985,4563,6
986,618,0
987,5163,0
988,10364,2
989,406,2
990,4136,0
991,3563,6
992,3890,1
993,463,6
994,3732,3
995,3743,1
996,1737,1
997,504,6
998,296,6
999,3714,6
1000,7062,6
1001,964,6
1002,1318,0
1003,8972,0
1004,484,0
1005,2785,0
1006,2314,3
1007,2315,3
1008,263,3
1009,2317,3
1010,2318,3
1011,3782,0
1012,2160,0
1013,4314,4
1014,1499,2
1015,5568,1
1016,5063,2
1017,1977,1
1018,1162,0
1019,5573,6
1020,1972,2
1021,2466,0
1022,2813,0
1023,2716,1
1024,2225,6
1025,714,6
1026,3648,0
1027,2111,6
1028,1150,6
1029,4128,6
1030,7626,1
1031,2922,2
1032,9958,2
1033,4541,6
1034,1526,0
1035,1193,1
1036,11560,4
1037,3036,0
1038,2119,2
1039,1762,6
1040,1251,6
1041,874,0
1042,759,1
1043,4161,1
1044,886,6
1045,449,2
1046,1174,2
1047,2638,4
1048,6224,6
1049,882,0
1050,866,6
1051,5883,6
1052,526,6
1053,5675,2
1054,480,6
1055,2328,6
1056,3561,6
1057,9236,1
1058,5963,3
1059,5983,6
1060,1306,6
1061,1342,1
1062,207,6
1063,2953,6
1064,6326,1
1065,6987,6
1066,246,6
1067,1343,6
1068,3348,1
1069,209,6
1070,4618,2
1071,5579,6
1072,4375,6
1073,4398,0
1074,2284,3
1075,4526,3
1076,1419,6
1077,2271,6
1078,5642,6
1079,2269,6
1080,5656,2
1081,943,2
1082,5658,2
1083,5053,2
1084,5761,0
1085,2493,0
1086,1375,6
1087,536,2
1088,1107,2
1089,1074,2
1090,521,0
1091,1542,2
1092,3390,1
1093,922,2
1094,2684,0
1095,1549,0
1096,3639,6
1097,1787,6
1098,2467,2
1099,2216,0
1100,369,2
1101,4340,2
1102,2347,2
1103,7443,6
1104,1883,6
1105,2274,0
1106,1392,0
1107,478,6
1108,3408,1
1109,1546,0
1110,597,1
1111,4026,1
1112,2386,0
1113,487,0
1114,642,1
1115,1336,6
1116,5690,3
1117,2279,6
1118,2656,6
1119,1080,6
1120,7772,0
1121,3153,1
1122,933,1
1123,1339,6
1124,314,6
1125,5615,0
1126,2170,0
1127,3504,0
1128,3804,2
1129,4241,2
1130,3023,2
1131,6583,6
1132,2587,1
1133,1133,6
1134,4514,0
1135,4071,1
1136,2232,1
1137,432,1
1138,522,0
1139,3127,0
1140,4305,0
1141,751,0
1142,326,2
1143,360,2
1144,1052,3
1145,3253,6
1146,283,1
1147,9399,6
1148,639,6
1149,5426,0
1150,3073,2
1151,6191,2
1152,4630,0
1153,8607,0
1154,3931,0
1155,3497,0
1156,5234,0
1157,3501,0
1158,7354,0
1159,7786,1
1160,2611,1
1161,2911,1
1162,4684,6
1163,2195,0
1164,8308,0
1165,2381,0
1166,4571,6
1167,2262,6
1168,1784,6
1169,312,6
1170,1962,6
1171,3671,1
1172,786,3
1173,11613,7
1174,1512,7
1175,1301,7
1176,1455,6
1177,1923,0
1178,733,1
1179,1229,1
1180,1805,1
